NUID,SATREAD,SATMATH,ACTCUM,CARNIGIE,AVGSALMALE,AVGSALWOM,AVGSALTOT,HOUSE,HDEM,HREP,SENATE,SDEM,SREP,PERNWHT,STUFACR,TUITINS,FEEINS,TUITOUT,FEEOUT,FOOTBALL,TUITPER,SLCTVTY,APPEAL,RSRCHPSTU,BINGEDRK,HEALTHINS,MENTALHLTH,PHYSHLTH,CHGENROL,FRACDEGRE,RETPCNT
6914,581,531,24,21,5926,5498,5666,0.805,-0.468,0.874,1.072,-0.818,1.117,0.320675105,9,16248,1128,16248,1128,NA,0.282030656,0.575539568,0.358333333,0,NA,NA,NA,NA,1.002114165,0.088607595,68
3830,520,500,23,18,6914,5747,6249,0.805,-0.468,0.874,1.072,-0.818,1.117,0.512213039,12,7286,1590,14572,1590,0.636,0.429216619,0.531007752,0.687956204,142.6850321,NA,NA,NA,NA,1.071850394,0.177410468,66
8067,600,610,26,1,6348,5824,6074,0.805,-0.468,0.874,1.072,-0.818,1.117,0.391578947,15,6000,3418,12000,3418,NA,0.108150715,0.643109541,0.503663004,0,NA,NA,NA,NA,1.025917927,0.265263158,39
2774,540,580,25,22,5131,5090,5106,0.805,-0.468,0.874,1.072,-0.818,1.117,0.420731707,13,20200,1200,20200,1200,NA,0.520555384,0.619251337,0.386873921,0,15,17.4,14.8,15.5,0.997787611,0.167960089,71
6980,620,580,26,19,7924,7094,7512,0.805,-0.468,0.874,1.072,-0.818,1.117,0.286618445,14,11370,670,23640,670,NA,0.336757987,0.654241645,0.31237721,11.85141652,NA,NA,NA,NA,0.98136646,0.209764919,73
1581,523,530,25,18,7754,6852,7299,0.805,-0.468,0.874,1.072,-0.818,1.117,0.284223602,20,6336,1778,12672,1778,0.846,0.388020421,0.557395644,0.486772487,14.29826087,NA,NA,NA,NA,0.992234685,0.165217391,75
7214,520,490,21,22,5078,4724,4912,0.805,-0.468,0.874,1.072,-0.818,1.117,0.987564767,13,15714,1006,15714,1006,NA,0.398170391,0.483693156,0.371320038,423.0025907,14.3,15.4,13.3,13.1,0.932817786,0.197927461,74
1462,620,618,29,19,9562,7771,8626,0.805,-0.468,0.874,1.072,-0.818,1.117,0.20599512,12,28552,850,28552,850,0.583,0.667237724,0.913813117,0.290885996,0,13,19.5,15.1,16.3,1.050530941,0.252004183,89
6753,560,570,23,16,7771,6757,7254,0.805,-0.468,0.874,1.072,-0.818,1.117,0.402023091,20,7248,300,14496,300,0.462,0.175568207,0.805016181,0.401407035,1772.852452,15,17.4,14.8,15.5,1.02675367,0.187109416,73
3134,600,590,27,20,6434,6692,6561,0.805,-0.468,0.874,1.072,-0.818,1.117,0.305223411,14,33634,2164,33634,2164,NA,0.387773818,0.435317553,0.10551817,0,15,17.4,14.8,15.5,1.023840206,0.162995595,76
2480,NA,NA,23,24,4679,4239,4569,0.805,-0.468,0.874,1.072,-0.818,1.117,0.412087912,8,11340,450,11340,450,NA,0.637183769,1,0.833333333,0,13,19.5,15.1,16.3,0.923857868,0.159340659,67
2647,460,450,17,21,4954,5179,5060,0.805,-0.468,0.874,1.072,-0.818,1.117,0.907024793,10,9548,870,9548,870,NA,0.374927163,0.419190751,0.082735797,0,14.8,16.8,15.2,15.6,0.833046472,0.125,40
3350,550,610,24,18,6834,5987,6405,0.805,-0.468,0.874,1.072,-0.818,1.117,0.523636041,15,7224,1036,14448,1036,0.769,0.491335982,0.912466398,0.36089118,15.6330638,NA,NA,NA,NA,0.947705263,0.167718145,74
5930,NA,NA,NA,10,3519,3878,3848,0.801,-1.589,1.246,0.818,-1.385,1.093,0.763727121,35,NA,NA,NA,NA,NA,NA,0.845070423,0.561111111,0,15.6,18.9,13.5,14,1.039792388,0.443427621,70
6503,NA,NA,NA,15,11697,8944,10590,0.801,-1.589,1.246,0.818,-1.385,1.093,0.489916811,20,10160,1011,30759,1011,0.25,0.298243697,0.78618039,0.272676116,9674.707555,15.1,18.1,14,14.9,1.021607096,0.21295524,80
705,NA,NA,NA,22,9087,8143,8855,0.801,-1.589,1.246,0.818,-1.385,1.093,0.416494845,17,32592,1234,32592,1234,NA,NA,0.763380282,0.371463715,286.4247423,NA,NA,NA,NA,1.115455382,0.158762887,84
7433,NA,NA,NA,18,6462,6147,6289,0.801,-1.589,1.246,0.818,-1.385,1.093,0.5532816,19,16385,590,16385,590,NA,0.883308787,0.569362975,0.170916396,0,15.6,18.9,13.5,14,1.093412644,0.161962396,66
4978,NA,NA,NA,16,8693,7344,8017,0.801,-1.589,1.246,0.818,-1.385,1.093,0.398089556,18,8698,784,15264,915,0.455,0.408232365,0.780449727,0.196771363,1104.013228,NA,NA,NA,NA,1.046381838,0.215723498,76
3970,620,580,28,20,3139,3295,3236,0.801,-1.589,1.246,0.818,-1.385,1.093,0.237324703,9,27528,1415,27528,1415,NA,0.762861815,0.684713376,0.218604651,0,NA,NA,NA,NA,0.914201183,0.228694714,71
43,560,540,25,17,8239,6974,7683,0.953,0.071,1.118,0.904,0.179,1.015,0.437760898,13,6495,2138,18750,2138,NA,0.249537449,0.898280098,0.440371991,738.4748512,15.2,12,14,13.9,0.996522095,0.165879696,68
5038,540,580,26,21,6700,6027,6492,0.953,0.071,1.118,0.904,0.179,1.015,0.270414993,12,26050,240,26050,240,NA,0.190485012,0.741731175,0.189753321,0,NA,NA,NA,NA,0.996,0.149933066,66
4946,600,620,29,15,10228,7857,9298,0.953,0.071,1.118,0.904,0.179,1.015,0.255909766,18,7204,1616,21552,1616,0.538,0.243113257,0.632016342,0.364871814,4961.265061,15.9,9.9,13.6,12.7,1.019872568,0.207652303,82
5814,530,535,21,22,6094,5561,5850,0.953,0.071,1.118,0.904,0.179,1.015,0.948509485,15,4710,1966,10740,1966,0.091,0.039624304,0.419329451,0.28978979,2819.710705,NA,NA,NA,NA,1.054285714,0.154810298,70
7280,585,620,26,18,7530,6569,7016,0.953,0.071,1.118,0.904,0.179,1.015,0.264346866,18,6060,2140,12120,2140,0.615,0.219516136,0.70397878,0.412961567,594.4779343,13.9,11.6,15.1,14.3,1.037773702,0.22021541,75
4916,NA,NA,NA,18,6937,6144,6542,0.953,0.071,1.118,0.904,0.179,1.015,0.238705036,19,5256,1368,10512,1368,0.545,0.270549121,0.639143731,0.565789474,99.7047482,NA,NA,NA,NA,0.981014892,0.211510791,69
2622,520,540,27,18,7386,6429,6882,0.953,0.071,1.118,0.904,0.179,1.015,0.323765956,17,6223,2001,12446,2001,0.769,0.279539106,0.89780577,0.425435619,243.5990556,NA,NA,NA,NA,1.006460716,0.164391648,73
6354,470,495,25,22,5552,4866,5252,0.953,0.071,1.118,0.904,0.179,1.015,0.322865554,11,13500,1500,13500,1500,NA,0.690604467,0.619496855,0.639593909,0,NA,NA,NA,NA,1.081740977,0.121687929,75
3383,610,610,28,18,7778,6678,7373,0.953,0.071,1.118,0.904,0.179,1.015,0.186138905,16,17940,500,17940,500,0.929,0.564910454,0.701849346,0.654884319,0,NA,NA,NA,NA,0.97770105,0.189228958,82
8241,440,590,25,19,6110,5466,5808,0.953,0.071,1.118,0.904,0.179,1.015,0.337954939,16,6450,1666,13290,1666,0.727,0.182205291,0.661100196,0.277117385,23.14681852,NA,NA,NA,NA,0.947899554,0.166872988,60
5050,610,590,28,21,6707,5471,6270,0.953,0.071,1.118,0.904,0.179,1.015,0.174355902,13,24400,540,24400,540,0.636,0.436132281,0.668808411,0.345851528,144.5674056,NA,NA,NA,NA,1.022671569,0.202516477,81
1589,500,530,24,22,6802,6107,6502,0.953,0.071,1.118,0.904,0.179,1.015,0.353197674,14,23750,0,23750,0,NA,0.40071348,0.868156425,0.243243243,0,NA,NA,NA,NA,1.120521173,0.164244186,73
1132,490,480,22,11,5454,4395,4922,0.953,0.071,1.118,0.904,0.179,1.015,0.249906612,24,2850,1130,3840,1130,NA,0.166856826,0.77186964,0.606666667,0,NA,NA,NA,NA,1.009426848,0.286141203,52
7058,NA,NA,23,22,5686,5110,5408,0.953,0.071,1.118,0.904,0.179,1.015,0.083038869,12,16200,1120,16200,1120,NA,0.416072695,0.605105105,0.282878412,0,NA,NA,NA,NA,0.912903226,0.159010601,49
779,550,530,24,19,7033,6417,6762,0.953,0.071,1.118,0.904,0.179,1.015,0.503482587,17,6690,1506,10350,1506,0.75,0.304428399,0.69132948,0.357023411,84.40537313,NA,NA,NA,NA,1.177918425,0.173532338,66
3421,NA,NA,NA,30,7513,7512,7513,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.821094312,9,40046,550,40046,550,NA,0.674121055,0.692537313,0.454741379,0,17,11.2,10.5,10.3,1.020948181,0.167026638,81
450,560,570,26,17,8120,7802,7958,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.590662884,12,35540,580,35540,580,0.75,0.741700828,0.614570361,0.226950355,724.3301522,NA,NA,NA,NA,1.088433464,0.253632534,86
5664,610,610,27,17,9799,8914,9488,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.532171582,15,36696,0,36696,0,NA,0.692706989,0.648531755,0.306072306,368.0369377,NA,NA,NA,NA,0.996438112,0.209115282,84
2196,550,550,24,18,9185,8745,8976,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.616182573,18,29562,1810,29562,1810,NA,0.827631545,0.639911487,0.360264068,0,17.4,16,12.6,13.1,1.142918732,0.185590343,76
5417,NA,NA,NA,30,9827,9084,9478,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.728941176,11,44976,490,44976,490,NA,0.827883989,0.648454045,0.166557805,0,21.2,8.7,9.8,9,0.990214352,0.218823529,81
7984,590,610,27,18,10580,9545,10063,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.559674134,14,39310,483,39310,483,0.444,0.689576963,0.641942458,0.165284974,0,19.8,8,10,8.9,0.996347403,0.273930754,85
10,660,700,31,18,9938,9056,9628,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.425104757,21,5472,3603,16632,3603,0.583,0.391606477,0.294879781,0.305661174,164.4458719,NA,NA,NA,NA,1.038296041,0.228024129,95
3666,NA,NA,NA,17,9753,7702,8819,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.650431566,15,18703,280,18703,280,NA,0.95164859,0.857142857,0.238095238,37.63008631,19.6,11.1,11.3,10.3,0.975932611,0.232840115,36
6353,NA,NA,NA,18,9436,8494,8972,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.768543762,24,5472,1385,16632,1385,NA,0.177626769,0.678213739,0.236622655,144.5640688,17.7,16.3,13.5,13.6,1.03081694,0.205791107,76
2300,490,490,20,18,9819,8727,9284,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.846525051,30,5472,1138,16632,1138,NA,0.236203958,0.581448539,0.304960664,63.43956096,14.4,22.5,16.1,17.7,1.038367066,0.1969059,85
94,560,600,27,18,9986,9578,9814,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.802149487,28,5472,1595,16632,1595,NA,0.246032716,0.591555286,0.21587758,68.30105032,15.1,21.4,13.4,14.7,0.98256,0.216617815,89
1164,NA,NA,NA,18,9507,9025,9249,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.896493616,25,5472,951,16632,951,NA,0.268333248,0.479149141,0.162904439,0.963575086,15.1,14.4,11,11,1.005408576,0.232678722,82
5020,500,510,22,18,9220,8459,8872,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.776614997,24,5472,841,16632,841,0.083,0.21738644,0.535414999,0.329179543,146.192344,14.2,18.5,14.3,15.1,1.021213339,0.199740341,79
5673,550,570,24,18,9755,9092,9422,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.767534605,25,5472,1088,16632,1088,NA,0.321859231,0.482300587,0.206253786,32.41348049,15.6,12.3,10.8,11,1.039403287,0.230795984,89
4821,NA,NA,NA,18,9849,9365,9599,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.822993119,27,5472,1092,16632,1092,NA,0.331592267,0.697511168,0.146020128,96.83274083,17.2,14.3,11.6,11.4,1.037107517,0.245298165,77
623,570,590,26,18,9828,9134,9478,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.799050356,24,5472,988,16632,988,NA,0.296491424,0.318906938,0.215767845,1.533449956,16.1,15.3,12.5,12.6,1.019698282,0.238910409,90
4988,480,500,20,18,9375,9182,9279,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.913692228,25,5472,911,16632,911,NA,0.264906028,0.636964069,0.169716843,102.2799377,16,17.1,12.6,13.2,1.050363636,0.239882292,79
3572,510,520,23,18,9677,9037,9350,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.759983476,26,5472,1115,16632,1115,NA,0.310422921,0.482362592,0.283383724,209.2355871,NA,NA,NA,NA,1.032927957,0.223193794,77
224,520,530,22,18,9503,8800,9161,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.700434065,27,5472,1428,16632,1428,0.182,0.283121287,0.719405229,0.218300046,56.91337042,16.2,13.2,12.9,13,1.021642047,0.194717858,81
3271,750,790,34,15,17455,14114,16260,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.702106882,18,11220,2289,37902,2289,0.417,NA,0.169268783,0.44236136,16429.6897,18.8,7.1,10.1,9,1.011033223,0.272722834,97
5343,630,700,31,15,14564,12282,13670,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.68481314,20,11220,2826,37902,2826,0.273,NA,0.422753198,0.198819916,17470.61997,NA,NA,NA,NA,1.01658916,0.259115593,93
1628,620,710,30,15,15339,13089,14456,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.813813814,18,11220,2140,37902,2140,NA,NA,0.406471677,0.2071135,9744.276337,15.4,6.5,8.6,8.2,1.02800212,0.26981527,92
2793,710,760,33,15,18290,15089,17113,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.703531723,17,11220,1700,37902,1700,0.333,NA,0.179926271,0.37457792,19531.87288,16,17.1,12.6,13.2,1.008578569,0.279367772,97
4044,580,610,27,15,13125,11302,12510,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.842192618,22,11220,2361,37902,2361,NA,NA,0.663398156,0.189462518,6070.302686,17.4,16,12.6,13.1,0.997038714,0.228870933,91
4912,660,730,32,15,16009,12959,14851,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.638835419,18,11220,2853,37902,2853,NA,NA,0.357674551,0.18113919,8112.688603,18.9,11.7,11,10.7,1.018128368,0.251844722,93
2358,630,660,30,15,14336,12465,13595,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.656572501,18,11220,2319,37902,2319,NA,NA,0.578516094,0.148355124,6966.65454,NA,NA,NA,NA,1.013952014,0.238611488,90
7011,NA,NA,NA,30,6871,6700,6796,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.603089322,7,45030,616,45030,616,NA,0.74497179,0.236049601,0.386491557,0,NA,NA,NA,NA,0.961265332,0.255876427,89
3819,NA,NA,NA,22,9263,8625,9097,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.467306016,15,5472,1336,16632,1336,NA,0.184289161,0.68200493,0.290361446,3123.523976,15.3,12.3,12.1,11.9,1.076995305,0.215344377,85
4419,NA,NA,NA,9,7556,2342,3906,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.683809524,17,NA,NA,NA,NA,NA,0.757037079,0.603104213,0.698529412,0,NA,NA,NA,NA,0.824175824,0.354285714,67
1361,650,650,30,18,12322,12495,12394,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.45488509,14,48310,400,48310,400,0.556,0.768787183,0.540285469,0.215389057,714.4715272,17.4,12.4,11.1,11.3,1.002041974,0.249745273,89
5376,520,530,21,21,6847,5919,6407,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.561808118,8,20635,1015,20635,1015,NA,0.9674855,0.53298153,0.282178218,0,NA,NA,NA,NA,0.896608768,0.179889299,68
2188,740,750,33,21,14277,12290,13553,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.580434783,9,50700,245,50700,245,NA,0.596022134,0.0944497,0.535893155,5985.507246,NA,NA,NA,NA,1.039939714,0.226811594,93
795,NA,NA,NA,22,7578,6849,7313,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.593575419,12,18096,1000,18096,1000,NA,0.908768004,0.825622776,0.5,0,14.5,12,10,10,0.993065187,0.087988827,77
4250,563,560,25,19,9293,8898,9065,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.585774059,9,42950,450,42950,450,NA,0.743753545,0.777452416,0.168863779,0,NA,NA,NA,NA,0.966307278,0.222687122,86
6784,530,530,24,19,7180,6842,7015,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.600792254,13,28780,590,28780,590,NA,0.798501534,0.684782609,0.501133787,0,14.2,18.5,14.3,15.1,0.951822371,0.228433099,86
8044,780,800,35,21,14596,11329,13165,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.618531889,8,52383,283,52383,283,NA,0.521419983,0.128708134,0.401486989,4986.444043,NA,NA,NA,NA,1.018382353,0.232250301,98
2367,490,500,19,19,8438,7535,7814,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.766856214,6,36574,500,36574,500,NA,0.261413814,0.484599589,0.203389831,0,16.7,13.3,12.2,12.1,0.8862491,0.260763607,74
4680,550,540,24,19,9507,8532,9051,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.545091263,22,5472,1737,16632,1737,0.545,0.217194467,0.77093938,0.129551821,48.85160384,NA,NA,NA,NA,1.024679062,0.209849876,71
4136,NA,NA,NA,21,7663,6649,7351,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.765957447,4,28992,1471,28992,1471,NA,0.152624679,0.597938144,0.206896552,0,16,17.1,12.6,13.2,0.886792453,0.281914894,88
8223,500,470,21,24,6786,5832,6434,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.50728863,17,13488,650,13488,650,NA,0.626590017,0.973214286,0.577981651,0,NA,NA,NA,NA,1.040971168,0.224489796,72
4125,560,570,26,17,9692,8183,8877,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.822167488,15,38266,1634,38266,1634,0.222,0.836801582,0.48055005,0.143078113,0,NA,NA,NA,NA,0.953947368,0.233004926,88
6123,510,520,22,19,7913,7367,7676,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.811247576,14,30600,990,30600,990,NA,0.75606109,0.459338473,0.178126692,33.71428571,17.4,16,12.6,13.1,0.981287663,0.139948287,76
4270,630,580,28,22,7618,6034,7344,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.378060264,14,31550,420,31550,420,NA,0.558388637,0.831838565,0.466307278,0,19.4,10.5,11,10.2,1.209567198,0.169020716,88
3622,660,670,30,18,11798,10393,11143,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.573868571,10,43526,704,43526,704,NA,0.7846416,0.53872353,0.182930181,661.7774776,16,17.1,12.6,13.2,0.988835878,0.271446492,88
3265,NA,NA,NA,10,4222,3425,3585,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.506708761,21,NA,NA,NA,NA,NA,0.895276837,0.772532189,0.761111111,0,16.2,13.2,12.9,13,0.873793103,0.335438043,84
4540,560,570,26,22,12178,13544,12906,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.711267606,14,39250,700,39250,700,NA,0.673577419,0.408656036,0.176142698,0,NA,NA,NA,NA,0.99765808,0.21713615,78
4324,640,593,29,19,11511,10310,10706,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.546426186,10,44322,1313,44322,1313,NA,0.61649073,0.844106464,0.190315315,2167.213093,16.7,13.3,12.2,12.1,0.900722022,0.348697395,78
7066,510,510,22,20,8787,8920,8884,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.878235605,11,36682,1040,36682,1040,NA,0.796848977,0.859211585,0.267790262,0,16,17.1,12.6,13.2,1.033296943,0.25911252,79
8059,NA,NA,NA,30,3643,4512,3782,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.743403694,4,23985,45,23985,45,NA,0.997243651,0.804705882,0.637426901,0,NA,NA,NA,NA,0.914906457,0.353562005,77
6516,508,510,22,19,9133,7898,8401,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.655002243,12,33018,250,33018,250,NA,0.622181594,0.966774716,0.131601006,0,NA,NA,NA,NA,0.947704082,0.232839838,83
82,700,720,31,21,11288,11072,11180,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.520183486,10,50492,578,50492,578,0.111,0.639397896,0.458105789,0.170980926,1447.098165,16,17.1,12.6,13.2,0.991810737,0.223853211,91
2672,520,520,23,22,5315,4981,5161,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.512895377,14,29500,1050,29500,1050,0.7,0.410919553,0.321073559,0.33126935,0,15.6,12.3,10.8,11,1.052227343,0.158150852,67
953,NA,NA,NA,10,6775,5572,5781,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.810599479,21,NA,NA,NA,NA,NA,0.840312159,1,0.537254902,0,19.6,11.1,11.3,10.3,0.788356164,0.401390096,75
3776,560,550,25,21,6158,5524,5831,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.728497409,14,27999,630,27999,630,NA,0.537260976,0.465461289,0.250996016,0,NA,NA,NA,NA,0.966933868,0.211917098,77
4935,630,670,30,17,11137,9815,10571,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.698360184,12,44068,520,44068,520,NA,0.740004038,0.659864713,0.124038954,1850.827819,15.1,17.6,14.1,14.7,1.012672979,0.248273878,82
6695,650,680,31,17,12845,10559,11911,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.565058824,13,49770,252,49770,252,NA,0.719966643,0.368733687,0.181352209,361.6470588,NA,NA,NA,NA,1.027066216,0.282705882,90
5206,NA,NA,NA,21,11284,9814,10444,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.529250457,11,50160,270,50160,270,NA,0.937886346,0.13737325,0.471001757,456.1535649,NA,NA,NA,NA,0.994545455,0.236745887,94
799,770,770,34,21,13204,12426,12864,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.605843769,7,49005,347,49005,347,NA,0.837571678,0.094421131,0.537254902,2280.262373,NA,NA,NA,NA,1.0078125,0.22659511,97
3200,590,600,27,18,10420,9643,10032,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.575317604,13,46220,350,46220,350,0.8,0.652089866,0.747479176,0.173313783,0,18.3,10.9,11.7,10.9,0.968984812,0.29153605,82
2516,650,660,30,17,13073,11253,12246,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.491313262,14,45540,600,45540,600,0.833,0.77217011,0.513841671,0.152984067,494.5505557,19.6,11.1,11.3,10.3,1.003247808,0.26416316,87
461,NA,NA,NA,30,5878,5420,5657,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.53856383,9,42220,870,42220,870,NA,0.779540242,0.926136364,0.193251534,0,21.2,8.7,9.8,9,0.938826467,0.255319149,49
3745,540,550,24,18,10428,9688,10045,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.779026776,23,5472,1012,16632,1012,NA,0.271577633,0.681997626,0.147425518,406.5681019,21.2,8.7,9.8,9,1.043302433,0.207197805,80
6898,620,630,28,17,13838,12231,13001,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.695134785,14,44040,454,44040,454,NA,0.781628001,0.713650337,0.145449546,201.0038047,21.2,8.7,9.8,9,1.005862715,0.265117785,86
4746,580,560,25,24,6899,6945,6911,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.376650452,11,28300,400,28300,400,NA,0.651293309,0.725067385,0.371747212,70.161918,NA,NA,NA,NA,0.984941821,0.202223767,76
6802,560,590,25,18,10474,9729,10093,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.802616659,25,5472,1946,16632,1946,0.333,0.369166189,0.534368563,0.190250267,7.812152929,14.5,12,10,10,0.998519422,0.260851868,87
1315,680,720,32,18,13308,11209,12359,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.601430761,11,47112,0,47112,0,NA,0.730744069,0.483011242,0.172201883,552.5804803,15,8,8.8,8.4,0.965275723,0.290342361,96
3942,NA,NA,NA,24,3327,3116,3281,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.229508197,5,11200,860,11200,860,NA,0.292611419,1,1,1236.557377,18.8,9.2,13.8,12.7,0.924242424,0.081967213,100
3677,590,570,28,18,11412,10415,10891,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.538909248,11,44210,150,44210,150,NA,0.774836573,0.803863299,0.148402429,0,NA,NA,NA,NA,0.979105108,0.25932313,86
7554,540,540,24,18,9671,9106,9390,-1.101,-1.669,1.46,-1.434,-1.582,1.388,0.51551481,24,5472,1916,16632,1916,NA,0.27392827,0.762722145,0.14361829,133.6847673,NA,NA,NA,NA,1.032452673,0.215595406,80
