"","NUID","SATREAD","SATMATH","ACTCUM","CARNIGIE","AVGSALMALE","AVGSALWOM","AVGSALTOT","HOUSE","HDEM","HREP","SENATE","SDEM","SREP","PERNWHT","STUFACR","TUITINS","FEEINS","TUITOUT","FEEOUT","FOOTBALL","TUITPER","SLCTVTY","APPEAL","RSRCHPSTU","BINGEDRK","HEALTHINS","MENTALHLTH","PHYSHLTH","RETPCNT"
"29",3970,635,570,28,20,4845,4089,4386,0.746,-1.429,1.263,0.597,-1.449,1.02,0.251760563,9,24960,1455,24960,1455,0,0.789645544,0.687258687,0.123595506,0,0,0,0,0,68
"30",43,530,560,25,17,8356,7214,7881,0.678,0.136,1.123,0.848,0.207,0.943,0.416628236,13,5768,1664,16100,1664,0,0.297746739,0.592804112,0.707129094,975.2655643,13.8,16.6,12.5,12.9,71
"31",5038,545,580,27,21,6677,5794,6404,0.678,0.136,1.123,0.848,0.207,0.943,0.2256,14,24070,230,24070,230,0,0.247683988,0.614241803,0.211843203,0,0,0,0,0,74
"32",4946,610,620,28,15,9905,7740,9085,0.678,0.136,1.123,0.848,0.207,0.943,0.240778432,19,6824,1386,18914,1386,0.538,0.211258938,0.620364517,0.388129405,4593.264703,15.3,14,12.5,12.9,83
"33",5814,450,460,21,22,5771,5141,5485,0.678,0.136,1.123,0.848,0.207,0.943,0.94868286,15,4440,1516,10110,1516,0.364,0.062697062,0.386830103,0.365512159,2579.786179,0,0,0,0,62
"34",7280,500,560,26,18,7492,6428,6927,0.678,0.136,1.123,0.848,0.207,0.943,0.262011969,17,5760,1960,11520,1960,0.538,0.210743547,0.723948093,0.461162412,618.5479624,14.4,17.1,13.9,14.6,75
"35",4916,580,630,25,18,6457,5712,6083,0.678,0.136,1.123,0.848,0.207,0.943,0.212314692,20,5016,846,10032,846,0.273,0.251356194,0.862566074,0.542061281,87.24827536,0,0,0,0,67
"36",2622,550,580,26,18,7061,6086,6562,0.678,0.136,1.123,0.848,0.207,0.943,0.31542814,17,5918,1971,11835,1971,0.5,0.2633337,0.942635659,0.458881579,275.8164466,0,0,0,0,70
"37",6354,470,540,23,22,4941,4714,4847,0.678,0.136,1.123,0.848,0.207,0.943,0.298755187,10,12300,1500,12300,1500,0,0.389741521,0.569672131,0.514388489,0,0,0,0,0,71
"38",3383,610,610,28,18,7542,6569,7185,0.678,0.136,1.123,0.848,0.207,0.943,0.174675602,16,16560,480,16560,480,0.818,0.524381047,0.991185544,0.474433081,0,0,0,0,0,82
"39",8241,530,530,24,19,6011,5160,5624,0.678,0.136,1.123,0.848,0.207,0.943,0.324806383,17,5970,1591,12330,1591,0.818,0.171377973,0.62783534,0.345227475,27.76554799,0,0,0,0,60
"40",5050,580,590,28,21,6623,5495,6255,0.678,0.136,1.123,0.848,0.207,0.943,0.164929491,13,22800,520,22800,520,0.909,0.325605575,0.706120092,0.343417825,141.1042305,0,0,0,0,76
"41",1589,540,560,26,22,6612,5543,6124,0.678,0.136,1.123,0.848,0.207,0.943,0.294509151,12,23750,690,23750,690,0,0.222932091,0.889221557,0.287878788,0,0,0,0,0,68
"42",1132,510,480,22,11,4767,4931,4855,0.678,0.136,1.123,0.848,0.207,0.943,0.238589212,20,2745,890,3840,890,0,0.164639882,0.618106996,0.636484687,0,0,0,0,0,49
"43",7058,470,540,23,22,4916,4290,4720,0.678,0.136,1.123,0.848,0.207,0.943,0.178932179,15,13400,960,13400,960,0,0.359173547,0.704861111,0.406403941,0,0,0,0,0,58
"44",779,540,540,24,19,6573,5929,6269,0.678,0.136,1.123,0.848,0.207,0.943,0.361248761,16,6300,1356,9750,1356,0.5,0.211959023,0.714228617,0.401790711,90.14742319,0,0,0,0,63
"45",3421,0,0,0,30,6985,7225,7051,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.767642643,9,37330,500,37330,500,0,0.626772139,0.808988764,0.402777778,0,16,15.3,10.5,11.2,76
"46",450,540,540,24,17,9467,9262,9360,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.548507167,11,32516,580,32516,580,0.909,0.76778741,0.8183391,0.245712943,0,0,0,0,0,85
"47",5664,620,620,28,17,9427,8306,9060,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.482844942,17,33322,0,33322,0,0,0.654561194,0.754001033,0.323519343,295.6854661,0,0,0,0,87
"48",2196,550,550,24,18,8859,8171,8550,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.560494387,18,27612,1810,27612,1810,0,0.800029414,0.796722869,0.32757079,0,15.6,21.2,13.3,14.5,83
"49",5417,0,0,0,30,9237,8758,9021,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.661589719,9,41592,350,41592,350,0,0.823662967,0.636907731,0.212999217,0,16.6,11.7,9.8,10.1,80
"50",7984,600,600,27,18,11309,9161,10313,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.533268102,16,36690,450,36690,450,0.444,0.551990522,0.609707242,0.140510488,0,18.6,10,9.8,9.2,83
"51",10,640,680,30,18,9093,8131,8767,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.402674373,22,5472,3446,16632,3446,0.583,0.39055656,0.308887976,0.344491244,133.7754212,0,0,0,0,93
"52",3666,0,0,0,17,9008,9667,9331,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.614846483,14,16842,280,16842,280,0,0.886025573,0.385542169,0.25,11.23338515,17.3,14.8,11,11,83
"53",6353,0,0,0,18,8695,7758,8249,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.79668553,26,5472,1320,16632,1320,0,0.167525739,0.705951449,0.263449806,18.03334681,16.8,20.9,13.5,14.3,73
"54",2300,490,500,20,18,9042,7980,8521,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.814379415,30,5472,1078,16632,1078,0,0.278369751,0.844461598,0.248994516,21.99510595,14,29,16.3,19,88
"55",94,580,630,27,18,9227,8773,9036,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.778641761,22,5472,1432,16632,1432,0,0.278723412,0.518733043,0.214974142,90.60199468,14.5,28.6,13.8,16.4,89
"56",1164,0,0,0,18,8396,7985,8172,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.878461935,26,5472,667,16632,667,0,0.28687744,0.423427414,0.200567927,0,14,18.7,11.2,12.3,80
"57",5020,510,520,22,18,8482,7650,8111,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.739864306,25,5472,827,16632,827,0.429,0.237541177,0.594020249,0.313626276,78.20147278,14.7,24.3,14.8,16.2,83
"58",5673,550,580,24,18,8882,8230,8561,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.735116094,25,5472,843,16632,843,0,0.362702143,0.444683189,0.239237865,26.28601905,16.3,16.5,11.1,11.4,89
"59",4821,0,0,0,18,8824,8429,8628,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.804142012,27,5472,1092,16632,1092,0,0.341489653,0.703144831,0.146610509,70.73863905,14.4,18.7,11.9,12.7,81
"60",623,570,600,25,18,9017,8300,8669,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.775011139,25,5472,980,16632,980,0,0.32625948,0.35459335,0.21327364,33.07530207,15.2,21,12.7,13.9,90
"61",4988,480,500,20,18,8918,8449,8683,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.89921567,27,5472,876,16632,876,0,0.261478366,0.610743882,0.170529539,120.7767708,15.1,23.4,13,14.7,84
"62",3572,510,520,22,18,8795,8123,8457,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.729414123,28,5472,1077,16632,1077,0,0.343935019,0.528574852,0.313141044,185.458277,0,0,0,0,77
"63",224,520,530,22,18,8746,8153,8470,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.662780466,27,5472,1176,16632,1176,0.583,0.303314353,0.72649652,0.236011753,28.92360631,14.9,17.6,13.2,13.9,83
"64",3271,730,770,34,15,16366,12988,15194,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.690901767,17,11220,1752,34098,1752,0.417,0,0.160201675,0.462521151,16720.85743,15.8,9.9,9.8,9.4,96
"65",5343,640,700,31,15,13283,11379,12587,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.660895758,18,11220,2676,34098,2676,0.182,0,0.403680029,0.220008183,17601.2772,0,0,0,0,93
"66",1628,600,690,29,15,14262,11791,13297,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.789738267,19,11220,1959,34098,1959,0,0,0.374201308,0.218360787,10174.73639,15.9,9,8.6,8.3,92
"67",2793,710,750,33,15,17032,13699,15841,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.686200378,16,11220,1485,34098,1485,0.769,0,0.185573801,0.358926459,18335.5989,15.1,23.4,13,14.7,97
"68",4044,600,650,27,15,12548,10528,11880,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.830720729,19,11220,2187,34098,2187,0,0,0.582920141,0.203335868,5363.843682,15.6,21.2,13.3,14.5,90
"69",4912,660,710,31,15,14709,11886,13665,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.592595698,17,11220,2645,34098,2645,0,0,0.363447233,0.195115925,8375.181083,17.2,15.6,11.3,11.4,92
"70",2358,620,650,29,15,13031,11484,12428,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.617153889,18,11220,2177,34098,2177,0,0,0.557247035,0.177792465,7410.697683,0,0,0,0,89
"71",7011,0,0,0,30,6532,6423,6484,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.570767196,7,41700,576,41700,576,0,0.537102194,0.244218316,0.354166667,0,0,0,0,0,87
"72",3819,0,0,0,22,8410,7959,8317,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.421845574,14,5472,1064,16632,1064,0,0.1353832,0.666969147,0.281632653,3455.676083,14.5,16.3,12.2,12.8,83
"73",4419,0,0,0,9,6849,5547,6361,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.82754491,20,0,0,0,0,0,0.715729261,0.875,0.485714286,0,0,0,0,0,43
"74",1361,640,650,29,18,12199,9713,11197,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.445883441,14,44710,683,44710,683,0.8,0.655008026,0.470376589,0.241713412,464.1014107,18.2,15.9,11.3,11.4,91
"75",5376,560,540,25,21,6494,5282,5924,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.573248408,18,25550,1540,25550,1540,0,0.953584051,0.555012225,0.603524229,0,0,0,0,0,73
"76",2188,750,770,33,21,13331,11569,12751,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.5653789,8,47150,245,47150,245,0,0.19756075,0.10772795,0.502304147,6164.933135,0,0,0,0,96
"77",795,0,0,0,22,7601,6850,7513,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.58652576,14,15980,180,15980,180,0,1,0.438016529,0.535849057,0,14.1,10,8.2,8.2,86
"78",4250,570,580,25,19,9005,7951,8357,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.631031614,9,41280,450,41280,450,0,0.584044425,0.809248555,0.155952381,0,0,0,0,0,82
"79",6784,560,560,24,19,6641,5972,6342,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.582744333,11,26250,388,26250,388,0,0.824655508,0.666228647,0.386587771,0,14.7,24.3,14.8,16.2,81
"80",8044,770,800,35,21,13874,11157,12765,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.527027027,8,48315,279,48315,279,0,0.244337644,0.142468733,0.372137405,3812.835381,0,0,0,0,97
"81",2367,480,500,21,19,8566,10249,9842,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.762678804,9,34058,430,34058,430,0,0.601712249,0.570552147,0.318996416,0,14,18.3,12.5,13.3,72
"82",4680,560,540,24,19,8483,7698,8118,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.494239892,23,5472,1699,16632,1699,0.8,0.245177475,0.765530557,0.15199035,0,0,0,0,0,74
"83",4136,0,0,0,21,7229,7326,7266,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.729613734,5,27312,1820,27312,1820,0,0.157738518,0.414634146,0.647058824,0,15.1,23.4,13,14.7,86
"84",8223,530,488,21,24,6559,5208,6317,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.363376252,16,12360,500,12360,500,0,0.525158984,0.663265306,0.753846154,0,0,0,0,0,51
"85",4125,550,550,23,17,9737,8968,9344,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.756568708,17,35300,1444,35300,1444,0.222,0.82898868,0.465565408,0.146882338,0,0,0,0,0,86
"86",6123,520,550,23,19,7376,6812,7132,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.800385728,15,28764,1131,28764,1131,0,0.666005268,0.406415976,0.244119185,29.31983285,15.6,21.2,13.3,14.5,77
"87",4270,610,590,28,22,7196,5133,6693,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.378977273,10,29440,420,29440,420,0,0.550769693,0.758762887,0.529891304,0,18.1,13.8,10.8,10.9,86
"88",3622,640,660,30,18,10628,9695,10215,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.532807425,11,40680,692,40680,692,0,0.644481426,0.527110671,0.211053703,620.8816705,15.1,23.4,13,14.7,90
"89",3265,0,0,0,10,3765,3114,3296,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.461187215,27,0,0,0,0,0,0.906321135,0.874524715,0.895652174,0,14.9,17.6,13.2,13.9,21
"90",4540,535,560,23,22,11680,12423,12023,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.649056604,15,36900,620,36900,620,0,0.556534153,0.450571792,0.109419064,0,0,0,0,0,80
"91",4324,640,610,29,19,10367,9846,10011,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.518877057,11,41618,1300,41618,1300,0,0.356696738,0.761369716,0.132115249,1621.724105,14,18.3,12.5,13.3,71
"92",7066,510,510,21,20,8507,8281,8340,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.852386238,12,33836,990,33836,990,0,0.627877971,0.782970847,0.280141844,0,15.1,23.4,13,14.7,77
"93",8059,0,0,0,30,777,543,748,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.686103542,5,23985,0,23985,0,0,0.977861061,0.944976077,0.643037975,0,0,0,0,0,65
"94",6516,520,520,21,19,8698,8099,8365,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.638866064,11,31422,400,31422,400,0,0.678514686,0.777111214,0.105106888,0,0,0,0,0,75
"95",82,690,700,31,21,11030,10163,10599,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.503851382,10,46952,570,46952,570,0.556,0.326636831,0.420359084,0.213949843,1423.844132,15.1,23.4,13,14.7,93
"96",2672,483,490,20,22,7110,6404,6827,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.493582888,14,26550,580,26550,580,0.6,0.54563786,0.310043668,0.539906103,0,16.3,16.5,11.1,11.4,81
"97",953,0,0,0,10,5084,5507,5469,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.814835471,26,0,0,0,0,0,0.587318393,1,0.681818182,0,17.3,14.8,11,11,62
"98",3776,550,580,27,21,6051,5675,5863,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.705796396,16,27081,1050,27081,1050,0,0.52520214,0.47440273,0.335046249,0,0,0,0,0,79
"99",4935,630,683,30,17,11055,9043,10193,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.63930131,14,40822,520,40822,520,0,0.531150172,0.548969242,0.110857828,2160.99869,13.6,23.4,14.1,15.7,86
"100",6695,650,680,30,17,12411,9994,11472,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.574656785,12,46440,252,46440,252,0,0.49950547,0.354610725,0.207845618,383.9144697,0,0,0,0,92
"101",5206,0,0,0,21,10853,9479,10083,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.503623188,12,46752,268,46752,268,0,0.638437051,0.130203515,0.461811723,333.1811594,0,0,0,0,90
"102",799,770,770,34,21,12895,11842,12421,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.560540873,7,45500,332,45500,332,0,0.085491799,0.121910185,0.477707006,1892.440074,0,0,0,0,98
"103",3200,600,600,27,18,10070,9388,9748,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.598572561,14,42836,350,42836,350,0.667,0.618556858,0.730862563,0.226682765,0,17.3,13.3,11.2,11.1,87
"104",2516,650,670,30,17,13153,11105,12190,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.47593985,15,42330,578,42330,578,0.75,0.573403802,0.46248333,0.171346183,533.2975295,17.3,14.8,11,11,90
"105",461,0,0,0,30,5431,4319,4957,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.503113325,11,39226,870,39226,870,0,0.676667251,0.950819672,0.199507389,0,16.6,11.7,9.8,10.1,69
"106",3745,550,560,24,18,9638,8853,9248,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.744555985,24,5472,996,16632,996,0,0.342892285,0.659731565,0.178024375,629.3523398,16.6,11.7,9.8,10.1,84
"107",6898,620,630,28,17,13316,12008,12667,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.656192391,14,40996,454,40996,454,0,0.737923092,0.600527281,0.143347967,242.7518016,16.6,11.7,9.8,10.1,87
"108",4746,570,550,25,24,6794,6489,6715,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.301788376,13,23410,1580,23410,1580,0,0.611394924,0.758064516,0.501182033,0,0,0,0,0,79
"109",6802,560,600,25,18,9631,8676,9171,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.764106071,27,5472,1851,16632,1851,0.25,0.374858475,0.598459883,0.195875709,0.016677567,14.1,15.7,10.3,10.7,87
"110",1315,680,710,32,18,12707,10616,11761,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.59474634,12,43812,0,43812,0,0,0.501045436,0.493493493,0.178363759,485.6627231,14.4,10.4,8.9,8.9,96
"111",3942,0,0,0,24,2740,2536,2681,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.222222222,5,10400,760,10400,760,0,0.233054543,1,0.75,844.7222222,17.7,13.1,13.6,13.3,83
"112",3677,600,610,27,18,10519,9752,10123,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.54640051,13,41230,150,41230,150,0,0.612707107,0.75950668,0.156968877,0,0,0,0,0,89
"113",7554,550,550,23,18,8879,8440,8659,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.45486911,26,5472,1804,16632,1804,0,0.311703488,0.80018008,0.156409591,227.2398953,0,0,0,0,81
"114",5224,0,0,0,10,7437,5486,6043,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.879297732,25,0,0,0,0,0,0.759912718,1,0.511520737,0,14.5,20.8,12,13,68
"115",235,720,760,33,15,14582,11320,13355,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.658574089,9,47562,718,47562,718,0.692,0.243810486,0.180238829,0.331053644,7504.721272,15.1,23.4,13,14.7,97
"116",3711,710,640,31,21,9466,7634,9237,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.268096515,11,24500,0,24500,0,0,0.301587029,0.827027027,0.581699346,0,0,0,0,0,97
"117",2108,0,0,0,10,6411,5359,5584,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.797662527,24,0,0,0,0,0,0.763546473,1,0.464285714,0,14,29,16.3,19,61
"118",1041,0,0,0,10,5446,5646,5586,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.889809445,18,0,0,0,0,0,0.750974167,1,0.33877551,0,0,0,0,0,80
"119",4887,0,0,0,10,6655,6085,6157,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.614494212,23,0,0,0,0,0,0,0.956521739,0.522727273,0,14.9,17.6,13.2,13.9,75
"120",6485,650,640,29,21,7659,7646,7654,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.336489439,12,38960,1030,38960,1030,0,0.446560694,0.79362815,0.22468544,280.6846322,17.2,15.6,11.3,11.4,91
"121",2611,580,590,25,21,9794,8246,8993,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.617408124,13,41246,390,41246,390,0.222,0.617770085,0.618762887,0.129290237,530.9980658,17.1,20.2,11.3,12.4,87
"122",972,0,0,0,24,5852,0,5852,-1.146,-1.651,1.541,-1.41,-1.656,1.482,0.087912088,23,12600,700,12600,700,0,0.630299206,0.72972973,1,0,15.1,23.4,13,14.7,72
"123",5546,520,560,23,19,5979,5714,5861,-1.196,-1.758,1.648,-0.518,-1.184,1.624,0.448334138,15,5160,2854,15960,2854,0.364,0.313355842,0.65289548,0.274743104,0,0,0,0,0,58
"124",297,0,0,0,10,6162,3729,4459,-1.196,-1.758,1.648,-0.518,-1.184,1.624,0.265508685,29,11025,0,11025,0,0,0.7717229,0.814102564,0.417322835,0,19.9,17.8,10.1,11.1,66
"125",6737,600,610,25,16,10330,8808,9568,-1.196,-1.758,1.648,-0.518,-1.184,1.624,0.431382211,16,7272,1228,21624,1228,0,0.137266131,0.729916898,0.25597723,9912.468657,19.9,17.8,10.1,11.1,72
"126",6968,590,600,26,18,7931,5824,6840,-1.196,-1.758,1.648,-0.518,-1.184,1.624,0.332034137,15,6168,1292,16200,1292,0,0.575105473,0.924044002,0.248582766,277.8819972,15.2,13.9,10,10.1,66
"127",7911,630,660,30,15,11296,9013,10452,-1.196,-1.758,1.648,-0.518,-1.184,1.624,0.281758596,18,9048,1741,31410,1741,0.167,0.403589482,0.841605435,0.241701672,8802.941371,17.6,10.6,8.7,8.8,84
