"","NUID","SATREAD","SATMATH","ACTCUM","CARNIGIE","AVGSALMALE","AVGSALWOM","AVGSALTOT","HOUSE","HDEM","HREP","SENATE","SDEM","SREP","PERNWHT","STUFACR","TUITINS","FEEINS","TUITOUT","FEEOUT","FOOTBALL","TUITPER","SLCTVTY","APPEAL","RSRCHPSTU","HIGHBP","CHGENROL"
"30",43,560,550,24,17,7927,6920,7511,0.954,0.039,1.111,0.904,0.179,1.015,0.432965085,15,"6180","1928","17250","1928",0,0.255897644,0.898348813,0.493394601,947.3097381,37.4,0.966071546
"31",5038,600,580,27,21,6452,5873,6277,0.954,0.039,1.111,0.904,0.179,1.015,0.266666667,15,"25040","240","25040","240",0,0.30051157,0.591163659,0.222105263,0,0,1.2
"32",4946,600,620,28,15,10097,7736,9169,0.954,0.039,1.111,0.904,0.179,1.015,0.25231617,19,"7028","1494","20332","1494",0.615,0.226864911,0.600574433,0.398395072,4592.903668,32.6,1.036779147
"33",5814,500,500,20,22,6055,5515,5795,0.954,0.039,1.111,0.904,0.179,1.015,0.950714286,15,"4530","1741","10200","1741",0.182,0.0551975,0.461590296,0.332846715,2676.532143,0,0.957919945
"34",7280,540,540,26,18,7498,6420,6920,0.954,0.039,1.111,0.904,0.179,1.015,0.261148687,17,"6000","2050","12000","2050",0.692,0.212649637,0.702394314,0.419973369,605.2158088,35.7,0.994357367
"35",4916,0,0,0,18,6816,5923,6371,0.954,0.039,1.111,0.904,0.179,1.015,0.227538994,19,"5160","1032","10320","1032",0.75,0.262514171,0.89110197,0.489067055,107.8091608,0,1.039850286
"36",2622,540,570,26,18,7243,6206,6696,0.954,0.039,1.111,0.904,0.179,1.015,0.324669538,17,"5918","1971","11835","1971",0.636,0.284066514,0.921785503,0.437968717,265.0907471,0,1.015918521
"37",6354,508,445,23,22,5603,4886,5244,0.954,0.039,1.111,0.904,0.179,1.015,0.319532909,11,"12900","1500","12900","1500",0,0.659035621,0.474860335,0.647058824,0,0,0.977178423
"38",3383,620,620,28,18,7574,6579,7200,0.954,0.039,1.111,0.904,0.179,1.015,0.183139117,16,"17130","675","17130","675",0.636,0.553743801,0.992015968,0.665325285,0,0,0.991159276
"39",8241,493,525,24,19,6829,5945,6427,0.954,0.039,1.111,0.904,0.179,1.015,0.333724478,15,"6210","1592","12810","1592",0.846,0.190652423,0.63338616,0.321100917,23.77094579,0,1
"40",5050,610,630,28,21,6610,5514,6227,0.954,0.039,1.111,0.904,0.179,1.015,0.153186275,13,"23600","520","23600","520",0.636,0.348939206,0.684540787,0.343333333,149.0122549,0,1.000613121
"41",1589,540,520,25,22,4859,4426,4672,0.954,0.039,1.111,0.904,0.179,1.015,0.319218241,13,"23750","690","23750","690",0,0.372637984,0.967741935,0.293055556,0,0,1.021630616
"42",1132,480,450,22,11,4886,5007,4952,0.954,0.039,1.111,0.904,0.179,1.015,0.240950226,24,"2745","1040","3840","1040",0,0.17138404,0.664725458,0.698372966,0,0,0.917012448
"43",7058,0,0,24,22,5600,5280,5465,0.954,0.039,1.111,0.904,0.179,1.015,0.141935484,14,"15400","1030","15400","1030",0,0.403708004,0.637457045,0.345013477,0,0,0.894660895
"44",779,540,540,24,19,6543,5977,6291,0.954,0.039,1.111,0.904,0.179,1.015,0.394045945,17,"6510","1386","10080","1386",0.636,0.23752525,0.674782609,0.410824742,79.63666198,0,1.056987116
"45",3421,0,0,0,30,7348,7269,7325,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.793458287,9,"38730","500","38730","500",0,0.623003112,0.795081967,0.371134021,0,25.9,1.021396396
"46",450,590,590,27,17,9359,9086,9217,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.562324537,11,"34174","580","34174","580",0.6,0.764913405,0.809007232,0.244209671,0,0,0.846281777
"47",5664,620,620,28,17,9512,8419,9151,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.506826952,15,"34498","0","34498","0",0,0.646066674,0.698502839,0.306356245,390.6203621,0,0.992195553
"48",2196,540,540,24,18,9087,8510,8816,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.575878422,18,"28574","1810","28574","1810",0,0.85627795,0.654066986,0.404901244,0,29.8,1.052046717
"49",5417,0,0,0,30,9246,9222,9234,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.705032619,9,"43248","460","43248","460",0,0.854243569,0.685427136,0.176686217,0,25.5,1.021418372
"50",7984,600,600,27,18,10353,9467,9938,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.545048701,15,"37980","450","37980","450",0.444,0.665394275,0.615618816,0.147131553,0,24.4,0.964383562
"51",10,650,690,31,18,9336,8423,9020,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.412411551,22,"5472","3529","16632","3529",0.364,0.40060237,0.312921828,0.337383114,131.8836298,0,1.024490596
"52",3666,0,0,0,17,9682,9168,9399,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.629562776,12,"18718","280","18718","280",0,0.932544682,0.915492958,0.169230769,20.43100682,26.1,0.96890789
"53",6353,0,0,0,18,8849,8028,8455,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.771004942,27,"5472","1339","16632","1339",0,0.17270199,0.6875,0.25254442,27.64444229,27.6,1.042744543
"54",2300,490,500,20,18,9176,8126,8663,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.82953429,30,"5472","1105","16632","1105",0,0.232584318,0.645899739,0.337034545,30.13293378,35,1.027043391
"55",94,580,620,27,18,9579,9110,9373,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.79276,27,"5472","1544","16632","1544",0,0.280453506,0.393058632,0.203426768,60.72332,29.6,1.056501712
"56",1164,0,0,0,18,8854,8537,8689,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.891437508,25,"5472","741","16632","741",0,0.271088625,0.527656387,0.154401325,0,28.8,0.988406544
"57",5020,500,510,21,18,8674,7998,8372,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.7553636,25,"5472","839","16632","839",0.25,0.214173327,0.521917946,0.352873342,212.4069104,31.5,1.02970379
"58",5673,560,570,24,18,9184,8525,8854,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.75177134,25,"5472","965","16632","965",0,0.335735028,0.418608542,0.25127034,28.9256278,25.7,1.029321294
"59",4821,0,0,0,18,9291,8787,9036,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.815889629,27,"5472","1092","16632","1092",0,0.352043797,0.740304569,0.163375389,109.2366199,27.2,0.995029586
"60",623,570,600,26,18,9138,8530,8839,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.788925131,24,"5472","980","16632","980",0,0.308093432,0.3381576,0.229312977,28.30215076,28.5,1.028542972
"61",4988,490,500,20,18,9046,8711,8879,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.905381818,28,"5472","883","16632","883",0,0.250260854,0.68133731,0.17793955,87.32156364,28.5,1.117568172
"62",3572,500,510,22,18,9000,8474,8737,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.743522272,27,"5472","1097","16632","1097",0,0.332192163,0.455986529,0.358907424,175.1379229,0,1.057059089
"63",224,520,540,23,18,8859,8369,8631,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.683395272,27,"5472","1400","16632","1400",0.182,0.289005823,0.672527665,0.245902706,41.45626308,31.7,1.006253535
"64",3271,740,770,34,15,16870,13545,15711,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.696401244,17,"11220","2211","35928","2211",0.615,0,0.168836272,0.416666667,16499.85346,24.5,1.019938573
"65",5343,630,710,31,15,14007,11666,13125,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.675206005,18,"11220","2731","35928","2731",0.182,0,0.379523854,0.218981972,16843.85124,0,1.035132168
"66",1628,600,690,29,15,14743,12284,13773,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.800430322,19,"11220","2032","35928","2032",0,0,0.386819923,0.20731883,9510.603667,23.2,1.04008692
"67",2793,710,760,33,15,17667,14343,16471,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.695854817,16,"11220","1543","35928","1543",0.615,0,0.172791024,0.354582917,19228.40412,28.5,1.023860021
"68",4044,600,610,28,15,12869,11065,12265,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.836693812,19,"11220","2307","35928","2307",0,0,0.555996988,0.188866056,5845.421417,29.8,1.005473334
"69",4912,660,700,31,15,15479,12408,14327,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.618079373,17,"11220","2748","35928","2748",0,0,0.326443235,0.194258664,8100.532582,26.3,1.026875183
"70",2358,630,670,30,15,13843,11940,13104,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.640841349,18,"11220","2241","35928","2241",0,0,0.502877097,0.158099314,7242.591798,0,1.043684501
"71",7011,0,0,0,30,6639,6434,6552,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.602969658,7,"43400","586","43400","586",0,0.688754033,0.249304912,0.358736059,0,0,1.024470899
"72",3819,0,0,0,22,8626,8197,8521,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.457276995,14,"5472","1086","16632","1086",0,0.162186035,0.661691542,0.279448622,4341.674178,30.3,1.002824859
"73",4419,0,0,0,9,4830,6390,5610,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.761381476,20,"0","0","0","0",0,0.959575498,0.805194805,0.688172043,0,0,0.762874251
"74",1361,640,650,30,18,12196,9676,11160,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.441747022,14,"46500","760","46500","760",0.444,0.729862246,0.475786394,0.219249692,535.2369824,25.6,1.019310823
"75",5376,528,510,23,21,6632,5514,6103,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.556658395,16,"18693","1098","18693","1098",0,0.969751041,0.517321016,0.491071429,0,0,1.100090992
"76",2188,750,780,33,21,13689,12308,13270,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.574981161,8,"48800","245","48800","245",0,0.377782253,0.109558413,0.4375,5945.742276,0,0.985884101
"77",795,0,0,0,22,7669,7050,7504,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.599167822,13,"16460","180","16460","180",0,1,0.607449857,0.518867925,0,24.2,0.952443857
"78",4250,560,580,25,19,9380,8918,9099,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.618149146,9,"42100","450","42100","450",0,0.686285554,0.788337925,0.148514851,0,0,0.925956739
"79",6784,530,547,24,19,6680,6596,6641,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.589861751,13,"27430","524","27430","524",0,0.79068449,0.631274131,0.519877676,0,31.5,1.163538874
"80",8044,760,800,35,21,14246,11272,12984,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.56495098,8,"50368","281","50368","281",0,0.482684118,0.129643117,0.400749064,4232.503676,0,1.002457002
"81",2367,470,470,21,19,8713,8030,8273,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.765298776,10,"35166","500","35166","500",0,0.604155357,0.430045872,0.317333333,0,29.6,0.903120936
"82",4680,560,550,24,19,8917,8182,8579,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.519256308,23,"5472","1723","16632","1723",0.833,0.2286294,0.770010754,0.141660016,9.232735724,0,1.020555681
"83",4136,0,0,0,21,7775,6649,7453,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.688679245,4,"28416","1820","28416","1820",0,0.157450488,0.803571429,0.244444444,0,28.5,0.909871245
"84",8223,540,490,20,24,6826,5743,6454,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.449165402,16,"12720","600","12720","600",0,0.397918125,0.638392857,0.629370629,0,0,0.942775393
"85",4125,560,570,24,17,9244,7841,8492,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.781390977,17,"37100","1460","37100","1460",0.8,0.863723622,0.471818071,0.187613371,0,0,0.974091367
"86",6123,510,520,22,19,7393,7261,7339,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.802093245,14,"29340","1131","29340","1131",0,0.793407836,0.44616451,0.22527188,39.93339676,29.8,1.013500482
"87",4270,620,590,27,22,6332,4510,5961,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.380979499,10,"30500","420","30500","420",0,0.540348907,0.946938776,0.433189655,0,24.8,0.997727273
"88",3622,640,660,30,18,10840,9620,10292,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.560687023,11,"41876","693","41876","693",0,0.717734944,0.50782661,0.200652045,557.1564885,28.5,0.97262181
"89",3265,0,0,0,10,4134,3417,3668,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.492413793,26,"0","0","0","0",0,0.892889276,0.781481481,0.739336493,0,31.7,0.945857795
"90",4540,533,563,25,22,11345,11611,11474,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.679156909,14,"38100","650","38100","650",0,0.644505001,0.380777096,0.161117078,0,0,1.074213836
"91",4324,670,620,30,19,9210,9469,9392,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.550541516,10,"42990","1268","42990","1268",0,0.501144331,0.71556551,0.219092332,1612.033694,29.6,0.804453049
"92",7066,510,510,21,20,8764,8052,8226,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.860262009,13,"34934","1010","34934","1010",0,0.679561374,0.765267968,0.299131379,0,28.5,1.016648169
"93",8059,0,0,0,30,3314,2910,3237,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.704888352,5,"23985","45","23985","45",0,0.98790971,0.859315589,0.528761062,0,0,0.902997275
"94",6516,520,510,21,19,8984,7815,8293,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.650510204,11,"32208","400","32208","400",0,0.647908058,0.866666667,0.116734143,0,0,0.9663106
"95",82,690,690,31,21,11195,10572,10885,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.506369427,10,"48690","558","48690","558",0.556,0.529073369,0.44865505,0.195324284,1449.004095,28.5,0.995922066
"96",2672,510,520,22,22,7032,6343,6750,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.514592934,14,"27900","650","27900","650",0.2,0.586975156,0.342530923,0.344444444,0,25.7,1.044385027
"97",953,0,0,0,10,7677,5513,5709,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.819863014,25,"0","0","0","0",0,0.809380519,0.826086957,0.478070175,0,26.1,0.814277747
"98",3776,560,570,23,21,6149,6027,6092,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.719438878,15,"27999","1065","27999","1065",0,0.525299907,0.452229299,0.271939328,0,0,0.972235753
"99",4935,620,660,29,17,11379,9749,10663,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.66394756,13,"42414","520","42414","520",0,0.671988498,0.645581009,0.100450257,1915.97378,32,0.999272198
"100",6695,650,670,30,17,12897,10257,11858,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.566457226,13,"48090","252","48090","252",0,0.701545967,0.381033962,0.197037821,373.6104398,0,1.005467136
"101",5206,0,0,0,21,11750,9913,10674,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.495454545,11,"48400","270","48400","270",0,0.846301212,0.134731261,0.465116279,256.3236364,0,0.996376812
"102",799,760,770,34,21,13045,12140,12644,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.572716346,7,"47280","340","47280","340",0,0.250262874,0.102975676,0.479616307,1853.966346,0,1.022741242
"103",3200,610,610,28,18,10262,9619,9954,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.575859313,14,"44550","350","44550","350",0.444,0.731973632,0.675156576,0.164811379,0,27.5,0.992069786
"104",2516,640,670,30,17,12932,11189,12116,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.482407708,14,"44000","586","44000","586",0.818,0.718859068,0.51678245,0.156360549,454.6930822,26.1,0.992158969
"105",461,0,0,0,30,6305,5363,5839,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.516853933,10,"40402","870","40402","870",0,0.802875398,0.653641208,0.233695652,0,25.5,0.99750934
"106",3745,540,550,24,18,9789,9049,9411,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.763547564,25,"5472","1004","16632","1004",0,0.297683974,0.678805307,0.179354893,534.4240963,25.5,0.992926641
"107",6898,620,640,28,17,13411,12299,12851,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.672095106,14,"42180","454","42180","454",0,0.740159236,0.643577804,0.127323887,221.1546291,25.5,1.029076588
"108",4746,575,560,25,24,6967,6840,6928,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.320328542,11,"24806","1674","24806","1674",0,0.619427722,0.760536398,0.370277078,0,0,1.088673621
"109",6802,570,610,26,18,9908,9058,9489,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.78479359,27,"5472","1906","16632","1906",0.462,0.395068096,0.552249542,0.20491415,1.015908959,24.2,1.024020453
"110",1315,690,710,32,18,13181,10887,12133,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.606885666,12,"45300","0","45300","0",0,0.629043196,0.487952212,0.173452545,370.5238236,22.6,1.01634249
"111",3942,0,0,0,24,1633,2654,1838,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.318181818,5,"11200","860","11200","860",0,0.33199872,0.727272727,0.75,1015.712121,27.8,0.916666667
"112",3677,620,610,27,18,10259,9594,9903,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.551076404,11,"42780","150","42780","150",0,0.704404662,0.975351179,0.176630435,0,0,1.00615842
"113",7554,550,550,24,18,9024,8613,8815,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.485645933,25,"5472","1858","16632","1858",0,0.28513318,0.76554209,0.161988704,176.6782817,0,1.006701571
"114",5224,0,0,0,10,6588,5771,5991,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.895300907,18,"0","0","0","0",0,0.819497487,0.870090634,0.413194444,0,27.7,0.88734455
"115",235,730,770,33,15,14804,11389,13461,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.674155182,9,"49464","813","49464","813",0.571,0.294472178,0.176816116,0.32120684,7806.305456,28.5,1.032464157
"116",3711,730,650,31,21,9547,8049,9366,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.292105263,11,"24500","0","24500","0",0,0.236420871,0.751322751,0.556338028,0,0,1.018766756
"117",2108,0,0,0,10,6113,5428,5577,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.808475958,20,"0","0","0","0",0,0.776694627,0.746212121,0.583756345,0,35,0.896274653
"118",1041,0,0,0,10,5479,5846,5761,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.89769821,16,"0","0","0","0",0,0.785256156,0.811111111,0.529680365,0,0,0.971830986
"119",4887,0,0,0,10,7228,6103,6255,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.634851138,16,"0","0","0","0",0,0,0.933884298,0.530973451,0,31.7,1.149471565
"120",6485,650,650,29,21,7357,6616,7058,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.351824818,12,"40320","1040","40320","1040",0,0.495211024,0.812229177,0.200355661,220.7423358,26.3,0.997815004
"121",2611,580,590,26,21,9589,8279,8907,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.641886491,12,"42690","390","42690","390",0,0.743910602,0.626155624,0.13688096,584.8077538,25.5,0.967891683
"122",972,0,0,0,24,2719,0,2719,-1.115,-1.669,1.423,-1.449,-1.582,1.427,0.064102564,23,"13200","700","13200","700",0,0.718091744,0.584158416,1,0,28.5,0.857142857
"123",5546,530,533,23,19,6106,5850,5999,-1.106,-1.898,1.848,0.061,-1.178,1.936,0.435343758,14,"5448","3126","15960","3126",0.273,0.284396254,0.643518519,0.254796163,0.367833209,0,0.972718493
"124",297,0,0,0,10,4811,5124,5046,-1.106,-1.898,1.848,0.061,-1.178,1.936,0.277324633,35,"11306","0","11306","0",0,0.748857349,0.354978355,0.62195122,0,25.9,0.760545906
"125",6737,620,600,25,16,10536,9238,9877,-1.106,-1.898,1.848,0.061,-1.178,1.936,0.434445568,16,"7404","1288","22416","1288",0,0.138797096,0.674172954,0.236225895,9763.61729,25.9,1.044313822
"126",6968,600,590,26,18,8785,6959,7831,-1.106,-1.898,1.848,0.061,-1.178,1.936,0.336977817,15,"6384","1308","16680","1308",0,0.571876848,0.920636835,0.216166645,375.2460343,24.9,1.063302197
"127",7911,640,660,30,15,11561,9243,10687,-1.106,-1.898,1.848,0.061,-1.178,1.936,0.296954524,18,"9312","1779","32346","1779",0.308,0.395348769,0.796201117,0.248907422,9695.740983,22.6,1.00952619
"128",739,0,0,0,21,11250,9938,10644,-1.106,-1.898,1.848,0.061,-1.178,1.936,0.385160484,10,"48576","420","48576","420",0,0.464329799,0.17133995,0.422157857,801.6723635,24.9,0.979183673
"129",7447,690,730,32,16,11344,9292,10786,-1.106,-1.898,1.848,0.061,-1.178,1.936,0.287238708,16,"15225","2128","32700","2128",0.727,0.45139461,0.376701838,0.226564265,8550.52887,0,1.019219309
"130",712,620,630,28,15,10220,8268,9422,-1.106,-1.898,1.848,0.061,-1.178,1.936,0.283555001,18,"8301","2257","25010","2257",0.538,0.363589646,0.808202199,0.315863173,6404.406999,22.6,1.01289711
"131",2073,660,660,30,16,11261,9538,10495,-1.106,-1.898,1.848,0.061,-1.178,1.936,0.329144827,11,"43164","1014","43164","1014",0,0.649471241,0.72745411,0.130371183,1065.02829,25.9,1.001798302
"132",4890,550,580,24,21,7558,6608,7078,-1.106,-1.898,1.848,0.061,-1.178,1.936,0.457928419,17,"5856","1744","16072","1744",0.636,0.224137748,0.85958132,0.304608468,104.6046457,0,0.958645762
